by,category,created,desc,goal,location,shares,title,total
,,,,,,,,
116,Creative,"Created June 12, 2018","

                        ,We set a goal, and you surpassed it! We are deeply grateful for—and elated over—your donations to The People’s Mayor: Ed Lee, a film-in-progress co-produced by the Chinese Historical Society of America (CHSA) and Bay Area Emmy winner Rick Quan. When we launched the endeavor in June, we hoped for $50,000 to make a documentary about Ed Lee, son of working-class immigrants, San Francisco Chinatown lawyer, champion of civil rights and equal opportunity and the first Chinese American mayor of a major US city. We hit that mark within a couple of months, and your enthusiastic generosity is enabling the film project to rise from good to great.,The tremendous response to the GoFundMe drive shows “how much love and support [Lee] has in the community, especially the Asian American community,” Quan said. “There’s so much interest because Mayor Lee touched so many people.”,Lee died on Dec. 12, 2017, after a heart attack. He was 65.,The film will contain stories and reflections from Lee’s wife, mother and other family members, childhood pals, former mayor Willie Brown, Golden State Warriors star Stephen Curry, former Washington governor and U.S. ambassador to China Gary Locke, colleagues from the Asian Law Caucus and City Hall, a college professor of Lee’s and Salesforce founder Marc Benioff, among others.,To date, the donations total more than $81,000, and there’s a lot of work ahead, such as shooting, graphic design, editing and other post-production tasks, publicity and distribution. Contributions already made and still coming in will help ensure that this hour-long film is inspiring, impactful and widely seen. We all want as many people as possible to know about Lee’s life, character and principles.,Please view and share the latest trailer , and stay tuned for the film’s premiere in the late fall.,Should you need an Ed Lee fix in the meantime, City Hall’s South Light Court has on display photos, golf balls, a putter, letters, a flaming orange SF Giants jacket and other items from and about him. CHSA collaborated on the exhibit, which is open through the end of 2018.,Thank you again for your support!,Last December, the city of San Francisco lost its beloved mayor, Ed Lee, unexpectedly and far too soon.,The Chinese Historical Society of America (CHSA) will present the inspirational story of this remarkable man. The film will chronicle, document, and preserve the memory of Ed Lee for future generations the life and character of the seemingly ordinary man who grew up in Seattle’s public housing and became the first Chinese American mayor of a major city.,Ed Lee was a lawyer-activist for tenants and garment workers, a habitual punster, a self-sacrificing civil servant, a reluctant-turned-enthusiastic mayor, a consensus builder, and a San Francisco Giants, 49ers, and Golden State Warriors super-fan.,CHSA is partnering with Bay Area television producer and Emmy-winner Rick Quan to produce the hour-long documentary. The project has the blessing and active support of Mayor Lee’s family, to whom he was very devoted.,The Chinese Historical Society of America (CHSA) is a 501(c)(3) non-profit and the oldest organization in the country dedicated to the preservation of the history and contributions of Chinese-Americans in the United States.  ,The film, with the working title “Ed Lee: The People’s Mayor,” is projected to be completed in the fall of 2018. ,Please help us capture Ed’s inspirational lessons onto film for our future generations by making your generous donation today. Donations are needed for ongoing filming and editing, plus publicity and distribution. Our goal is to raise a minimum of $50,000 to fund this significant and meaningful project.,We greatly appreciate contributions of any amount. Please donate online today using GoFundMe. ,Donations are tax-deductible.,We also accept checks, payable to CHSA, mailed to the following address:,CHSA,965 Clay Street,San Francisco, CA 94108,Please donate today and share this link with your family and friends: ,
                    ","
 of $75,000 goal","SAN FRANCISCO, CA",217,Mayor Ed Lee Documentary Project,"$102,588 "
,,,,,,,,
"1,117",Creative,"Created June 21, 2018","

                        

,


,
                    ","
 of $40,000 goal","MUSKEGON, MI",48k,"""Dummycrats"" w/ Diamond and Silk","$45,962 "
,,,,,,,,
256,Creative,"Created August 8, 2018","

                        

,


,
                    ","
 of $75,000 goal","NORTHRIDGE, CA",2.2k,Publishing the Divine Feminine,"$26,914 "
,,,,,,,,
296,Creative,"Created May 29, 2018","

                        ,A tour stop  to many a touring blues artists.,May 29, 2018 one of the signature oak trees fell right on top of the ' Corner Stage ' and destroyed the roof AND all the sound equipment.,The BBC will be closed for months until repairs are made.,The building was leased by BBC owners Gary & Kim Antone.,The building owners did not have property insurance though....,Lets raise some cash for The BBC  and get the blues singing again. Here is some information about the BBC..., ,
                    ","
 of $25,000 goal","TALLAHASSEE, FL",2.0k,Big Bend Blues Society BBC Fund,"$29,068 "
,,,,,,,,
428,Creative,"Created August 12, 2018","

                        

,


,


,


,
                    ","
 of $30,000 goal","TORRANCE, CA",867,Boogiezone Forever,"$30,543 "
,,,,,,,,
266,Creative,"Created June 6, 2018","

                        Popular Bay Area Band, The Stone Foxes, got jacked!! After just starting their tour The Stone Foxes were traveling through Garland, Texas when their van, trailer and all of their gear was stolen! They’re working with the local police to try and locate their stuff but in the meantime we would like to raise money to help get them through this terrible situation and replace their gear so they can get back on the road and keep on rockin’! Unfortunately, their insurance won't cover the loss so please give what you can. We know they appreciate the help greatly and have vowed to return any money they don't have to use once they replace their gear. ,-Paul McCaffrey,Here is a message from the band....,On our way across the country playing music, we’ve had our van and trailer stolen outside of Dallas.  The trailer contained nearly every piece of music gear we own and have been collecting throughout our careers.  All of those instruments, amps, cables and pedals are the tools that we use to give 110% every night, on stage and in the studio.  Our insurance can’t cover the incident, so we’re asking for your help to get us back on the road so we can do what we love most in the world, playing music for you.,    It can be a very dark day when you wake up and realize that all of your beloved instruments are gone, in fact, it sucks.  But all of the positive thoughts and well wishes have been incredible, and your uplifting attitudes have been a huge shot of love!  All we want to is to get back out there, continue the tour, and keep playing for you with every ounce of passion and energy (and sweat) that we have.   ,We couldn’t make the music without you, and we can’t thank you enough for the support!,
                    ","
 of $45,000 goal","SAN RAFAEL, CA",1.1k,The Stone Foxes Stolen Gear Fund,"$24,510 "
,,,,,,,,
520,Events,"Created July 1, 2018","

                         ,On this journey, we are meeting, sharing meals, and singing with new friends who are doing incredible work helping refugees whose lives hang in the balance of cruel immigration policies. ,We are raising money for all of our amazing hosts and partners that we meet along the way as well as in McAllen. , We are outraged by the cruel and inhumane way our government is treating immigrant children and their families who have risked all to find refuge from violence and oppression,Children do not belong in cages and internment camps. ICE must release parents immediately so that the Office of Refugee Resettlement (ORR) can reunite them with their children. ,Children and families deserve due process, not indefinite imprisonment. Family incarceration is not the solution to family separation. , while little ones are crying alone without the love of a parent to soothe them. We will not remain idle while tent cities are built to indefinitely detain families seeking safe haven in our country. Our government and our institutions do not have dominion over our morality. We the people will be the moral compass of our country and we will not rest until compassion and decency are restored., We urge you to join us along the way, to create a caravan from East to West, from North to South, and grow a movement around human decency and just plain common sense., with gas money, tolls, unexpected visits to the mechanic, the cost of a motel where we can't find free accommodations, and some basic admin costs. We're trying to keep our costs to a minimum so our efforts don't take away from other organizations doing important work on the ground.,If we raise more than our goal, we'll be able to support caravans of grannies and allies from other parts of the country. ,Learn more about us at ,Follow us on ,  or ,.,Somos abuelitas en una misión. Estamos indignadas por la forma cruel e inhumana en que nuestro gobierno trata a los niños inmigrantes y sus familias que han arriesgado todo para buscar refugio contra la violencia y la opresión,Exigimos la reunión inmediata de los niños con sus familias. Los niños no deben estar en jaulas y campamentos de internación. ICE debe liberar a los padres de inmediato para que la Oficina de Reubicación de Refugiados (ORR) pueda reunirlos con sus hijos.,Exigimos el final de la detención familiar. Los niños y las familias merecen el debido proceso de la ley, no el encarcelamiento indefinido. El encarcelamiento familiar no es la solución a la separación familiar.,No nos quedaremos callados mientras que los niños lloran solos sin el amor de un padre para calmarlos. No permaneceremos inactivos mientras que las ciudades de carpas se construyan para detener indefinidamente a las familias que buscan refugio en nuestro país. Nuestro gobierno y nuestras instituciones no tienen dominio sobre nuestra moralidad. Nosotros, el pueblo, seremos la brújula moral de nuestro país y no descansaremos hasta que se restauren la compasión y la decencia.,Estamos viajando a la frontera de los Estados Unidos y México con un mensaje de decencia humana básica con la esperanza de que usted se unirá a nosotros. Le instamos a unirse a nosotros en el camino, para crear una caravana de este a oeste, de norte a sur, y hacer crecer un movimiento basado en la decencia humana y el sentido común.,We are an ad hoc group, not a non-profit organization, all over the country. Lead organizers are in New York City and the Hudson Valley. All funds are deposited into a person account created for this action by a team coordinator, Michael Daniel Aymar-Blair. Though withdrawing all funds in his name, Aymar-Blair is the financial and fundraising chair for Grannies Respond and solely responsible for making purchases on behalf of the grannies, including all purchases on the road.
                    ","
 of $17,500 goal","BEACON, NY",1.0k,Grannies Respond,"$27,446 "
,,,,,,,,
310,Creative,"Created July 8, 2018","

                        , I urgently need your help to raise $20K (at least, see below) to relocate in the next month. Look! ME! Talking!  -  ,     -   Please share my story with your friends! If you know any blogs I can submit this to, let me know. I'm so happy that in just a few days I got almost $20K. This is a real and ongoing crisis, I don't have the money to cover this without your help.  How does this kind of art survive without products for sale or outside funds?  It's sustained by supporters and individuals who care. THANK YOU I'm really looking forward to creating something new with all of you. With a warm heart, Kal,-,DEEP STORAGE->,-,This is the last couple of weeks, crunch time. Robots are heavy. I've already worn out a new pair of boots and my hands! I know you've heard it before buuuuuttt if you know anyone to share this with.....I'm so close to my goal. Thank you! Oh, and I'm doing a show at the Goethe Institute (San Francisco) in October in association with City Lights Books and LitQuake. Life is amazing, confusing, hard, and fun. Stop the plutocracy. Besos, Kal,
,-,Do-gooders are a trip. Instead of kicking down to my eviction fundraiser, they want to make money off of my life story.....be it TV news, plays or tv docu-drama's. Its happened a few times before. Many people want / have used my story, so now I suppose I have such an interesting life, I should write my own screen treatment of my life.,I get emails like this...... As well as from news, national news, etc.,Kal -,I saw on your blog, and Laughing Squid, and GoFundMe, that you are getting evicted. I am writing you because I am a playwright/filmmaker/writer - I've also created a cable TV series (called Outsiders, which is about eviction in regards to mountaintop removal in Appalchia) and I am currently writing a script about eviction/gentrification in the Bay Area. ,Do you ever open your studio to visitors? I will be in SF this saturday - is there any way that I could stop by and talk to you about your situation for ten minutes? I promise that's all. I'm just doing some research as I write this thing.,thanks and good luck!,Pxxxx Mxxxxx,-, PRESS on my fundraiser, they AREN'T the enemy all the time! , ,…/Kal-Spelletich-artist-robots-machi…, ,…/legendary-artist-kal-spelletich-bein…/, ,…/help-save-artist-kal-spelletic.html, ,The best are the comments  on the SFGate article, right-wing anti-art Libertarians rule Frisco!,-,A List of SOME people who made a start At The KalPalace:,Trevor Paglen, , ,For over a decade I provided cheap housing for Investigative Reoporters, I called it my writer in residence program:,AC Thompson, ,G.W. Schulz, ,Rebecca Bowe, ,-----------------------,Heather Dewey-Hagborg, ,Jays canoe - !, ,Gay mens flag troop, ,-,Some small business People got a start through my cheap rents.,Monekybrains, ,A Womyn's tattoo parlor opened, boomed and soon they had a storefront on Valencia St., a shop in Portland, then she bought the shop and a house in Portland.,Andy's carpenter shop, ran his shop out of my place, and bought a house in Oakland.,Clint customized high performance parts Cooper Minis. Clint souped up Mini's, grew the business, and sold it for bank after his daughter was born.,An endless list of people who I helped in times of crisis with storage of their belongings., ,--------------------,I've hand built hundreds of robots, fire machines, and held jaw dropping events in the past 25 years in the warehouse. This is where I built the first ever flamethrowers and robots used at Burning Man in the '90's. I hosted music, noise and art events with the likes of the Bicycle Rodeo, Mitch Altman, Matt Heckert of Survival Research Laboratories, Heather Dewey-Hagborg to name a few and exhibitions with and for many many other artists and art groups (more below). , ,- Move out: debris boxes, rental truck, labor, hauling $20K ,- Permanent storage: a barn or a shipping container and/or a space to park it in the Greater Bay Area (another payment in kind opportunity!) $10K for cost of container(s) and trucking,- Lawyers fees: $10K (and up),With another $10K I can breathe a sigh of relief as far as paying MORE lawyers (ugh), more moving & hauling costs, outfitting new workspace, overhead for long term  storage (some robots are BIG), and  preparing for upcoming exhibits in the Fall of 2018 and all of 2019 (some of the best opportunities of my career).,I'm asking for $20K (or more) though really $50K is the minimum to keep going.  ,In-kind payments from friends already: a temporary workshop, temporary storage  (thank you Matt Heckert and Charlie Gadeken) for some of my work  and referrals to a tenant's rights lawyer (thanks to Ragi Dindial for his legal guidance and support).,And I sort of have a live space. ,I ran my studio as an experimental art/live space that housed and supported over 100 other artists and activists. All with NO grants, no outside support, no gallery sales and no renting to tech businesses. In 1995 when I moved in the street was dirt and littered with abandoned cars and homeless everywhere, prostitution rings and the truly disturbed and disadvantaged lurking to rob you.  ,It was the project that should have never worked: an artist supporting artists by sharing below market rent. ,Yet the 25 year run of people, events, exhibits are a testament to art over commerce. ,Now, like virtually all other artists in San Francisco, I'm getting evicted.  ,I will keep making art. I will keep supporting others who make art and are active for change. ,Sincere thanks from the bottom of my heart for any support you can offer. ,It has been a gift to share my space with so many amazing people. I’m looking ahead to how I can keep doing this for the next 25 years. ,
,Rented way back in 1995, my space is was one of the last remaining raw warehouse art spaces and I made it into a home for experimental, non commercial art. I hosted jaw-dropping, fire spewing, ear shattering robot performances, music, noise and art events with the likes of Chris Johanson, Johanna Jackson, Marie Lornez and her epic boat, the Sisters of Perpetual Indulgence, Matt Heckert. ,I held numerous events like a mayoral fundraiser for the Green Party, art exhibits, housed visiting artists, when countless friends were getting evicted during the first dot-com I supported multiple people in distress, supported homeless folks giving food, sustenance, supplies and more,  writers, dancers, painters and activists; provided emergency art storage and live / work studios way way under market rates. ,I did all this without grants or outside support.,No trust funds, patrons or high paying side jobs here. I passed along the cheap rent. ,I provided housing and studios for countless artists, freaks, traveling activists and radical journalists like Trevor Paglen, AC Thompson, Heather Dewey-Hagborg, worked on Survival Research Laboratories shows, and countless others. ,My life and warehouse were the inspiration for Rudy Rucker’s sci-fi novel ,.  Another book that wouldn't have happened without my warehouse is ,., ,As seen on the ,  this past year, I built some 16’ tall mind-reading Robots with Mitch Altman,OMG I was in the ,  ! Thrice!,  in a short doc with some shots of the studio I am losing., ,140K views, this  was listed as the , in an article:,  was done by some college students that went on to win awards and launch their careers.,I was the first to bring ,  and ,  to  Burning Man.,For more see here:, ,This moment is uniquely busy: I am creating pieces for my first museum show at St. Mary's College Art Museum in Moraga, CA in 2019 and a concurrent solo show at Catherine Clark Gallery in San Francisco. ,I've been awarded a spot at the Stochastic Labs to work on my artificial organ project this summer.,Over the past two months since getting the notice to get out, I have undergone massive upheaval.,Over the past 38 years I've built momentum. Losing this is , an option. ,My entire art career has been a risk and a challenge. I'm on year 38 as an artist. ,I'm working to make everything fall into place to keep momentum for the next couple of years---some of the most important in my life.,A main concern is my old, tired body. Formerly broken fingers and limbs - my art wounds- flare up now and then. One is nothing without their health. ,Sorting through and moving 25 years of equipment and materials on my own is a major challenge.,There's always a risk with a renter's lawsuit. It could lose and if it does it's possible I could be sued for a lot more than I have ever made or will ever make in the rest of my life. Much more than I'm asking for right now. ,From my activist work, organizing marches, prop making and self survival and safety in violent confrontations with power, to traveling the world showing and making art, in India, Africa, all over the U.S. and Europe the 25 years in this space have been spectacular, as an artist,  not going to stop, ever, this I know. The challenge is to keep that momentum moving forward at this stressful and critical juncture.,——————,Karl Marx was right, Capitalism doesn't work without gaming private property!,I never gamed this art space, never rented to tech bros or overcharged tenants. Some said I was a fool, I just did what I hoped someone would do for me.,--------------,
,For 38 years, Kal Spelletich has been exploring the interface of humans and robots, using technology to put people back in touch with real-life experiences. His work is interactive, requiring participants to enter or operate his pieces, often against their instincts of self-preservation. He probes the boundaries between fear, control and exhilaration by giving his audience the opportunity to operate and control fascinating and often dangerous machinery.,Born and raised in Davenport, Iowa, the seventh of nine children. He has an undergraduate degree from the University of Iowa, and an M.F.A. from The University of Texas at Austin, both in the field of Media Art. He has performed, exhibited and lectured worldwide, collaborating with scientists, musicians, and politicians. Spelletich’s work has been included in numerous museum and gallery exhibitions over the past three decades, including the De Young Museum, SFMOMA, The Exploratorium Museum and Yerba Buena Center for the Arts, S.F., Ca., California Folk Art Museum, L.A., CA, Oakland Museum of California, Oakland, CA, and Headlands Center for the Arts, Marin, CA. He has exhibited internationally in Namibia, India, The Netherlands, Switzerland, Germany, Croatia, France, Czech Republic, Holland, England, Slovakia and Austria. Spelletich lives and works in San Francisco, California.,In 2019 his work will be shown in a solo museum exhibit at St. Mary’s College of Art Museum in Orinda, CA, and a concurrent solo exhibit at the Catharine Clark Gallery in San Francisco, CA as well as other shows.,
                    ","
 of $25,000 goal","SAN FRANCISCO, CA",793,Save Kal's Robots,"$22,750 "
,,,,,,,,
108,Creative,"Created August 14, 2018","

                        ,
,This year at NAWIC, we have put the focus on how we can ""Make A Measurable Difference."" So what better time than now for NAWIC to put our money where our mouth is by supporting a very special initiative. ,  is the first theatrical-length documentary film to tell the story of women who are breaking down gender barriers in the blue-collar construction trades. The film will go on to tour at festivals and have nationwide community screenings, as it builds a strong outreach campaign to support visibility, recruitment, and positive change for women in the industry. NAWIC will not only benefit from the exposure gained through this partnership, but more importantly, we will be demonstrating our commitment to supporting our tradeswomen sisters. NAWIC needs to be present in this film and its mission.,This film has been years in the making, and has received generous support along the way from companies such as Timberland PRO, Turner, Structuretone, Dragados, and more. The film has also received grants from The NoVo Foundation, Fork Films, and New York State Council for the Arts.,The director-producer Lorien Barlow has raised over 75% of the total budget and is now in the process of raising $100,000 in finishing funds for story editing, music composition, sound mixing, coloring, etc. The film is entirely shot and being edited as we speak, and our goal of $40,000 will ensure that the filmmakers can keep working steadily towards the finish line. Many of us have been eagerly following this project for years, and now is our chance to help send it out into the world.,Please post this campaign to your chapter's social media page or share in a group email. But you don't need to coordinate with your chapter in order to donate on its behalf right now. You can simply donate any amount you wish as an individual (or a company), and simply note your chapter affiliation at the time of payment. If your chapter ends up exceeding its goal, fantastic! Every dollar is needed. , ,Don't worry if you're not a NAWIC member, you can still support the project by donating , !,The enduring legacy of NAWIC's support of this project, beyond the film itself, will include:,1) Special thanks to NAWIC in the end credits of the film ,2) NAWIC logo on the Hard Hatted Woman website ,3) A permanent and dedicated page on the film's website thanking each and every member and/or company who donated to this campaign, including NAWIC affiliation by state and chapter,4) An ongoing partnership with the film, which will reach audiences within and beyond the construction community through screenings and panel discussions at campuses, companies, non-profit organizations, and NAWIC chapters across the country., ,Once you've donated, be sure to follow the film on ,  and ,  @HardHattedWoman!!,You can also stay updated on its progress via email by subscribing , .
                    ","
 of $40,000 goal","FORT WORTH, TX",696,NAWIC + HARD HATTED WOMAN,"$23,635 "
,,,,,,,,
85,Events,"Created June 4, 2018","

                        For 17 years our careers have been enriched by the steadfast support of David Lubarsky.,Help us celebrate his many accomplishments and send him off in style by making a donation to his Farewell Party Fund.  Your , contribution will make it possible to include clinical and administrative staff.,This social hour is tentatively scheduled for the evening of June 20, 2018.  ,Location TBA.,*Choose the ‘Hide name and comment from everyone but the organizer’ option underneath the donation amount and name fields to make your contribution private.,**This fundraiser is organized by Shawn Banks, a member of the  anesthesiology department in Miami, FL.  Dr. David Lubarsky is the retiring deparment chairman.  Funds will be withdrawn by the organizer and used to sponsor facilities fees, catering, beverages for the faculty, staff, and trainees of the department at his Farewell Party. All excess funds will be donated to the Department of Anesthesiology Academic Enrichment Fund. 
                    ","
 of $25,000 goal","MIAMI, FL",20,"Farewell,  Dr. Lubarsky!","$26,156 "
,,,,,,,,
70,Events,"Created August 25, 2018","

                        Let's raise some money for Karen to take vacation in Hawaii.  thanks.
                    ","
 of $15,000 goal","SANTA ROSA, CA",0,Karen Denny Retirement Gift,"$22,005 "
,,,,,,,,
313,Events,"Created August 25, 2018","

                        Dom was a very loved kid by everyone he had multiple basketball scholarships and was very talented he had a personality that everyone loved and you could never get mad at him sad to say as of 8/25/18 he died in a car crash he will always be loved and never  forgotten
                    ","
 of $3,000 goal","JACKSONVILLE, FL",893,Rip Dom,"$21,050 "
,,,,,,,,
156,Events,"Created April 28, 2018","

                        A CELEBRATION OF GRATITUDE ,On Sunday, June 3, Notre Dame des Victoires will host a Mass and celebration honoring our school principal, Mary Ghisolfo, for her 37 years of contributions to the NDV community. A reception will be held in the school auditorium after the 12:15 p.m. Mass.  ,Gifts collected through this campaign will be presented to Mary to fund a ""vacation of a lifetime"" in gratitude for her dedication to the success of NDV and its many students that have benefited from her leadership.
                    ","
 of $15,000 goal","SAN FRANCISCO, CA",55,Mary Ghisolfo Celebration,"$21,320 "
,,,,,,,,
63,Events,"Created July 26, 2018","

                        Dan Herschlag will be turning 60 in October, and a symposium is being held in his honor at Stanford University on October 13. The total cost of the celebration for the expected 75 attendees will be $18,750. This $250 per person total includes dinner the night before the symposium, breakfast and lunch at the symposium, a banquet at the Stanford Faculty Club after the symposium, and fees for the seminar and banquet rooms. Thank you for honoring Dan by making a contribution to fund this event.
                    ","
 of $18,750 goal","SAN FRANCISCO, CA",3,Dan Herschlag's 60th Birthday,"$18,159 "
,,,,,,,,
125,Events,"Created May 11, 2018","

                        This is a fund to try to raise some post retirement travel money from alumni, faculty, and residents to honor Trish Duffel who has done such a wonderful job supporting ophthalmology at Iowa.    She retires this June.  All of the money will be given to her to support fun travel for her after her retirement.  This is a surprise to her.  We hope to present a check to her with all donations at Iowa Eye 2018.   Thank you
                    ","
 of $10,000 goal","IOWA CITY, IA",2,Trish Duffel,"$19,475 "
,,,,,,,,
257,Events,"Created September 9, 2018","

                        Cameron Fearon lived a life of strength, love, and brotherhood.  A fighter at heart, Cameron  passed away  on August 17, 2018, after a  long battle with metastatic melanoma; A form of skin cancer that had spread throughout his body. Sigma Nu at The University of Georgia, along with the help from other greek organizations, friends, and family, has decided to start a campaign to raise money in honor of his life. On November 9th, we will be hosting an event titled, ""JAM FOR CAM"", that will celebrate his life and legacy. We will be fundraising money for Camp Carolina, a youth summer camp that had an immense impact on the person and character of Cameron, as well as The American Cancer Society. For more information on the event or fundraising feel free to contact Colin Beecham at , or anyone that is a Sigma Nu at the University of Georgia.  We are also accepting donations outside of GoFundMe. We thank you for your participation and  encourage that everyone shares this campaign in attempt to raise $20,000.
                    ","
 of $20,000 goal","ATHENS, GA",1.0k,JAM FOR CAM,"$19,368 "
,,,,,,,,
92,Events,"Created July 18, 2018","

                        The pilots of LAX will always be indebted to Johnny Kreis for his kindness and support.  Johnny will be retiring soon and he has many goals including getting his pilot license.  Please help us raise the money to fulfill his goal, share our appreciation, and send him off with our heartfelt thanks for what he has given and done for us
                    ","
 of $10,000 goal","LOS ANGELES, CA",46,Johnny's Retirement Fund,"$15,180 "
,,,,,,,,
135,Events,"Created July 28, 2018","

                        Thank You for your interest in helping Comedy Celebration Day continue the FREE laughter in Golden Gate Park!! ,It takes a lot to put this free show together. Unfortunately, the services needed to do so aren't free. Things like putting together the stage, generators for electricity, permits, porta-potties, and renting the Meadow cost money. A lot of money. ,Like Buckaroo Bonzai, we're on the clock here. Event time approacheth. Calls must be made. Ice cubes frozen. Dumpsters reserved. You get the picture. Tick. Tock. Tick. Tock.,DOUBLE THE VALUE OF YOUR DONATION!!,A long time fan of Comedy Day has pledged to match donations made here on GoFundMe before August 15th. ,Donate NOW and double the value of your pledge! ,GAIN ACCESS TO THE VIP SEATING SECTION RIGHT IN FRONT OF THE STAGE!!,Donate $250 or more and gain access to the VIP Seating Section! See the show up close and personal! ,Long Live the Comic Spirit!
                    ","
 of $10,000 goal","SAN FRANCISCO, CA",378,COMEDY DAY 2018,"$14,552 "
,,,,,,,,
104,Events,"Created May 12, 2018","

                                                ,, once the youngest person on Death Row in America, turns 60  on July 10, 2018. Gary was framed for murder in Louisiana when he was 16, sentenced to death and given an execution date of May 1,1976. His case was internationally known. Gary spent 41 1/2 years in Angola prison Louisiana  and was released in April 2016. He was an innocent teenager and spent decades in a notorious prison.,We ask for any donation. However, for those donating $60 or more, you will be invited to Gary Tyler's birthday celebration in Santa Monica on Sunday  July 15, with THE CHAMBERS BROTHERS. (That's $1.50 per year that Gary was incarcerated),As a teenager on death row Gary was never able to develop a work history. Thus, unlike the rest of us, he was released without a penny in social security and must work until he is 69 to even qualify for the minimum.  We feel it is our duty to provide some financial support for Gary as he reenters society. In the two years since release he has begun the process of reentry, and that includes the simplest things like shopping in a store, learning how to drive, getting a drivers license,,He has been working with homeless youth at SPY in Venice California. In addition he has been a powerful community speaker on issues of ending the death penalties and the problems of mass incarceration. he has spoken at USC (5 times), UCLA, CSUN, CSU Long Beach, UC Irvine, Loyola Law School, Loyola Marymount, New West Charter High School, Tim Robbins Actors Gang (2X), Jackson Browne's Prop 62 Concert, All Saints Episcopal Church, Hastings Law School and many other venues. We want to provide financial support as Gary Tyler develops his life and work as an important community leader., All the money raised after expenses for refreshments will go to Gary Tyler. I have already raised the money to pay the band.,  I will be responsible for all withdrawals and allocation to Gary Tyler and for any expenses. BOB ZAUGH                        
                    ","
 of $20,000 goal","SANTA MONICA, CA",111,Happy Birthday Gary Tyler!,"$14,210 "
,,,,,,,,
89,Events,"Created September 22, 2018","

                        We all loved Hervé and are devastated to have lost him so early. Let us take this opportunity to celebrate his life, the people he loved, and everything that we loved about him.,Please consider helping his family during this tragedy. All funds will go directly to his loving wife, Chieko, to assist with his celebration of life and end-of-life costs.,Thank you for your support.
                    ","
 of $20,000 goal","Palo Alto, CA",37,Celebration of Life: Hervé,"$20,350 "
,,,,,,,,
314,Faith,"Created May 28, 2018","

                        ***IMPORTANT UPDATE:,With the grace and blessing of Allah, a 2.8 acre land parcel was purchased on July 16th for the construction of a Masjid in Rockwall, Texas.,Alhamdulillah, this is the first land purchased for a Masjid construction in all of Rockwall County.,We at Centers for Peace and Mercy sincerely and genuinely thank all the people who have supported this project, either financially or in any other manner.  May Allah SWT make this a great Sadaqa Jariya, and grant you all the highest place  of Jannah.  Ameen.,Now we need your help more than ever!!!   We need to raise approximately 2 million dollars in two separate phases.  Please donate  generously for this project.  Our goal is the Muslim community of Rockwall have their own Masjid by Ramadhan 2019, INSHA'ALLAH.,Dearest brothers and sisters, this is our opportunity to secure our palace in Jannah!  It comes in a Hadith:,Uthman ibn Affan (Ra.) reported: The Messenger of Allah, peace and blessings be upon him, said, “Whoever builds a mosque for Allah, then Allah will build for him a house like it in Jannah.”,Following are the links for videos to get an idea about the land and surrounding area-,Note: The Masjid Project is initiated and administered by ""Centers for Peace and Mercy, Inc""  a 501 (c) 3  non-profit organization with alliance of the Rockwall Muslim Community.,Your donations are tax deductible  under Federal tax ID 46-2736348.,Check details and progress -  ,
                    ","
 of $2.0M goal","ROCKWALL, TX",391,"Rockwall, TX Masjid Project","$46,324 "
,,,,,,,,
419,Faith,"Created June 14, 2018","

                        
,Hi we are Morris Williams and Joshua Cullins of Rebirth of a Nation, we are working with our sister Onleilove Alston who has organized a mission called Operation Joseph which is a collaborative effort to help our Hebrew brothers and sisters in West Africa. As we speak they're are brothers and sisters who not only have no food, but also no bibles or proper housing in their places of worship. Just like in the Torah when Joseph was sold in slavery, our families were also sold but when the famine came Joseph  was put in a position to able to provide food and save his family Israel. We in the west have the same opportunity our ancestors did  as the descendants of slaves sold into Spiritual Egypt by our brothers. But now have to chance to bring Shalom to the entire family of Israel.Funds from Operation Joseph will go directly to Hebrew communities and assemblies through West Africa to buy food and supplies and bibles for those in need.
                    ","
 of $3,500 goal","ANDERSON, SC",451,OPERATION JOSEPH,"$28,182 "
,,,,,,,,
268,Faith,"Created June 26, 2018","

                        Joe and Denise Holman, Seth Holman's parents have laid their son to rest.  His services held on July 3rd at 10am.  Please pray for the Holman family.  ,We are raising money to assist with the costs for this Bolivian Missionary Family to travel back to the USA.  The doctors have told them to come quickly.,For all of you praying, thank you. ,Situation: Seth, 29, went to dr. yesterday afternoon because he had been sick a few days. Within hours his body was shutting down and he was in ICU on a ventilator. He went septic.,Bad News:,Docs don't know what caused the sepsis. ,He is not in an induced coma, but a natural one. They think cardio-vascular shock has caused that.,They are trying to wake him up and have been unable to.,Machine is doing 100% of breathing right now.,His kidneys stopped working yesterday.,He flatlined twice, once for three minutes, the second time for five.,They think that he might have had a stroke as well. They want to do a brain scan and an MRI asap. He is on the way for the scan now.,All meds have been tried and docs are stumped.,Good News:,This morning he passed a little blood through his kidneys, indicating some kidney activity.,His blood pressure came up some.,Once when Ben yelled his name, his eyelids fluttered,We were able to get tickets on a flight to Miami tonight.,Best News:,In this was manifested the love of God toward us, because that God sent his only begotten Son into the world, that we might live through him. Herein is love, not that we loved God, but that he loved us, and sent his Son to be the propitiation for our sins.,The Holmans have flights from Bolivia to Miami on 5/26.  They will arrive early morning on 5/27.  The parents and 5 daughters are flying in.  They will then be transported from Miami to Tampa.  There are many, many logistics to care for this family.
                    ","
 of $35,000 goal","KISSIMMEE, FL",930,Holmans Emergency Fund for Seth,"$31,879 "
,,,,,,,,
